Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description
Belgian golden strong ale,belgian-golden-strong-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,6065849940688d7cd23b0f15,false,true,Thu Apr 01 2021 08:30:16 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:21 GMT+0000 (Coordinated Universal Time),,
Belgian ipa,belgian-ipa,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606584b940688dd6413b0fb7,false,false,Thu Apr 01 2021 08:30:49 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:50:20 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>La meilleure façon de décrire une bière IPA belge est de dire que l'IPA américaine et la Witbier belge ont fusionné pour former une création exceptionnelle. Ce qui distingue la Belgian IPA des autres IPA, c'est l'utilisation de souches de levure belges, qui produisent des esters fruités et des phénols semblables à des clous de girofle. Une IPA belge se compose de divers malts belges, de souches de levure belges et de houblons américains. Comparée aux IPA américaines, l'IPA belge dépend des caractéristiques des ingrédients belges et contient moins de houblon, mais produit néanmoins une bière délicieuse, houblonnée et brillante.</p><p>Cette bière se décline en plusieurs styles, la Belgian White IPA, la Belgian Black IPA et la Belgian Double IPA. La forme traditionnelle de la Belgian IPA est la Belgian White IPA, qui a un profil de saveur de fruits et d'épices, y compris la banane, les agrumes, les clous de girofle et le poivre. Le malt contenu dans ce brassin de couleur pâle à dorée foncée peut parfois produire un léger goût de pain, mais il est globalement rafraîchissant et savoureux. La comparaison avec un mélange d'IPA et de wit provient de l'amertume et du houblon d'une IPA, tout en portant les saveurs fruitées et épicées d'un wit.</p><p>La Belgian Black IPA est similaire, mais utilise du malt foncé grillé qui donne à la bière des saveurs de caramel léger et de caramel. Bien qu'elle présente des caractéristiques similaires à d'autres bières, elle entre dans cette catégorie et dans ce titre parce qu'elle n'a pas le corps et le caractère grillé d'une stout, mais elle est beaucoup plus houblonnée qu'une porter. Le malt foncé, la levure belge et le houblon donnent à la Belgian Black IPA le nom parfait.</p><p>Enfin, il y a la Double IPA belge. Le terme double ou Dubbel était utilisé par les monastères de Belgique pour déterminer les différentes teneurs en alcool. Par conséquent, la Belgian Double IPA peut être similaire à une White ou Black IPA, mais a une teneur en alcool plus élevée et est souvent de couleur ambrée ou brune.</p><p>Tous ces styles de bière IPA belge sont meilleurs lorsqu'ils sont servis dans un verre tulipe. Pour tous les styles, la teneur en alcool varie entre 6 et 11 %, la double IPA étant généralement un peu plus élevée que les IPA blanches et noires belges. La White IPA, aux notes fruitées et épicées, se marie bien avec les plats asiatiques ou épicés, notamment ceux contenant du wasabi ou du raifort. La Black IPA peut supporter des saveurs plus riches et se marie bien avec le steak, les côtes et les hamburgers. Les doubles IPA sont de grosses bières qui se marient bien avec les viandes grillées au barbecue.</p>"
Belgian pale ale,belgian-pale-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606584cde4db32654380bf10,false,false,Thu Apr 01 2021 08:31:09 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:50:14 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>Les bières Belgian Pale Ale ont vu le jour à l'époque de la Seconde Guerre mondiale, lorsqu'elles ont été brassées pour être produites en masse et concurrencer les Pilsners. Leur Belgian Pale Ale s'inspire des Pale Ales britanniques, les Belges y ajoutant bien sûr leurs propres variantes et saveurs. Il est intéressant de noter que cette bière de couleur ambrée à cuivrée n'est pas très pâle pour être appelée pale ale.</p><p>Les Belgian-Style Pale Ales présentent une saveur de malt belge légère mais présente, un traitement délicat du houblon et des saveurs de fruits et d'épices provenant de la levure belge. Le malt ajoute des saveurs grillées de caramel et de noix, tandis que le houblon belge ajoute des épices et une légère amertume à la finale.</p><p>Les brasseurs expérimentent les Belgian Pale Ales houblonnées en ajoutant du houblon supplémentaire pour séduire les consommateurs américains amateurs de houblon. En ajoutant du houblon supplémentaire, elles se rapprochent d'une IPA, mais la plupart des buveurs de bière belge préfèrent leur version plus douce et considèrent que la plupart des IPA sont trop houblonnées à leur goût.</p><p>Les Belgian Pale Ales ont un taux d'alcoolémie compris entre 4,5 et 7% et sont servies de préférence dans un verre tulipe, refroidi entre 10-15°C degrés Fahrenheit. Ces bières de style belge se marient bien avec les salades croquantes, le poisson grillé, les côtelettes d'agneau et les saucisses.</p><p>‍</p>"
Berliner weisse,berliner-weisse,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606584e16a1fceae49f4ea2a,false,false,Thu Apr 01 2021 08:31:29 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:50:03 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>La Berliner Weissebier est un style de bière historique de Berlin, en Allemagne, qui remonte au 16e siècle. Au 19e siècle, la Berliner Weissebier était la boisson alcoolisée la plus populaire à Berlin, avec environ 700 brasseries produisant cette boisson. Cependant, au 20e siècle, le nombre de brasseries a chuté et seules deux brasseries de Berlin produisent encore cette bière.</p><p>Une Berliner Weissebier est une boisson de session dont le taux d'alcoolémie se situe généralement entre 2,8 et 3,5 %. La bière a une couleur allant de la paille au jaune pâle et est souvent trouble car elle est souvent non filtrée. La recette de la Berliner Weissebier ne contient pratiquement pas de houblon, ce qui signifie qu'elle manque d'amertume. En ce qui concerne le malt, cette bière berlinoise peut être fabriquée avec un mélange d'orge et de blé malté. Pour conserver la belle couleur pâle, les malts sont touraillés à des températures extrêmement basses.</p><p>L'expérience d'une Berliner Weissebier est souvent acidulée, fortement carbonatée, rafraîchissante et remplie de saveurs de pain blanc, de biscuits Graham et d'esters fruités. En plus de cela, un autre ingrédient de la Berliner Weissebier est le sirop aromatisé, généralement à la framboise ou à l'aspérule. Encore une fois, sans houblon et avec un taux d'alcoolémie raisonnable, l'amertume, le goût de l'alcool et les sucres résiduels sont extrêmement faibles. En plus de tout cela, il existe un excellent équilibre entre la levure et les bactéries lactiques, ce qui crée le goût acidulé de l'acide lactique.</p><p>Aux États-Unis et au Canada, la bière Berliner Weissebier est de plus en plus populaire, et de nombreux brasseurs y incorporent des fruits traditionnels et bizarres pour créer des saveurs uniques et des couleurs excitantes. Le verre le plus courant de la Berliner Weissebier est un bol en forme de gobelet ou de calice. Certaines versions sont mélangées à d'autres bières pour équilibrer l'aigreur, comme une bière blonde.</p><p>Étant donné qu'il s'agit d'une bière légère, croquante et acidulée, elle se marie très bien avec des snacks salés comme les bretzels, les chips et les frites.</p>"
Bière Bitter (English),biere-english-bitter,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,60658505f122c4609d930c9b,false,false,Thu Apr 01 2021 08:32:05 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:49:49 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>Le nom de cette Pale Ale de style britannique est assez trompeur car elle n'est pas du tout amère. Les styles de bières amères anglaises ont été conçus comme les bières de session originales conçues pour être consommées en grandes quantités dans les pubs sans que les gens soient trop intoxiqués. Les styles de bières Bitter anglaises de session, à faible teneur en alcool et à base de malt, sont nés de la volonté des brasseurs de différencier leur bière des autres brassins doux.</p><p>Ce brassin au corps léger, légèrement carbonaté et modérément houblonné dégage des arômes et des saveurs de fruits, parfois légèrement maltés avec des qualités de noix et de pain grillé. Les bières sont souvent conditionnées en fût, mais sont parfois servies en bouteille.</p><p>Les bières Bitter anglaises ont une couleur dorée à cuivrée et un taux d'alcoolémie compris entre 3 et 5 %. Ce type de bière se boit dans un verre de pinte Nonic avec un bon tas de poisson et de frites.</p>"
Bière de garde,biere-de-garde,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606584f440688deefa3b1048,false,false,Thu Apr 01 2021 08:31:48 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:49:57 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>La Bière de Garde est une Strong Pale Ale de style français qui est traditionnellement brassée dans la région Nord-Pas-de-Calais en France. L'origine de ces bières vient des petites fermes du Nord de la France et elles étaient traditionnellement brassées pendant les mois d'hiver et de printemps pour éviter les problèmes de levure dus à la chaleur élevée de l'été. Aujourd'hui, ces bières sont produites commercialement, mais la majorité des Bières de Gardes sont fabriquées par de petites brasseries. Les bières brassées dans la région Nord-Pas-de-Calais ont droit à l'appellation d'origine contrôlée ""Pas-de-Calais / Région du Nord"".</p><p>Ces bières se déclinent en trois styles, blonde, ambrée et brune, qui vont d'une couleur dorée et cuivrée à une couleur rouge-bronze ou marron. Les bières de Garde sont généralement non filtrées, ce qui leur donne un aspect trouble. Elles présentent des arômes maltés et sucrés dominants, avec des éléments caramélisés et grillés. Les versions commerciales contiennent souvent des caractères de moisissure et de bois, apportés par les levures et les moisissures indigènes qui sont difficiles à reproduire dans les petites brasseries ou les brasseries artisanales.</p><p>La saveur est souvent décrite comme un goût de malt moyen à élevé avec une douceur de caramel qui devient de plus en plus complexe à mesure que la couleur de la bière s'assombrit. Le goût du malt l'emporte sur le houblon et est évident dans la finale, qui est moyennement sèche à sèche. La bouche a tendance à être maigre et possède des qualités douces et soyeuses qui sont accentuées par une carbonatation modérément élevée. Elles ont un taux d'alcool par volume (ABV) de 6 à 8,5 % et une unité d'amertume internationale (IBU) de 18 à 28.</p>"
Black ipa,black-ipa,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,60658513526eb11cf6d562f0,false,true,Thu Apr 01 2021 08:32:19 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:17 GMT+0000 (Coordinated Universal Time),,
Blond ale,blond-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606585202aa985fdc44058d7,false,true,Thu Apr 01 2021 08:32:32 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:30 GMT+0000 (Coordinated Universal Time),,
British brown ale,british-brown-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,6065853026dc08b39a65a071,false,true,Thu Apr 01 2021 08:32:48 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:24 GMT+0000 (Coordinated Universal Time),,
British strong ale,british-strong-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,6065854015886e21abbe2864,false,true,Thu Apr 01 2021 08:33:04 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:41 GMT+0000 (Coordinated Universal Time),,
Dark strong ale,dark-strong-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606585549beac9512c2e5319,false,true,Thu Apr 01 2021 08:33:24 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:42 GMT+0000 (Coordinated Universal Time),,
Doppelbock,doppelbock,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606585632d86c0418d51424c,false,true,Thu Apr 01 2021 08:33:39 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:25 GMT+0000 (Coordinated Universal Time),,
Dortmunder export,dortmunder-export,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606585731e98cc7f8ffe3644,false,false,Thu Apr 01 2021 08:33:55 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:49:22 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>Les lagers d'exportation Dortmunder ont été brassées pour la première fois en 1873 par des brasseurs de Dortmunder, en Allemagne, pour concurrencer les Pilsners. À cette époque, les hommes et les femmes travaillaient dur pendant de longues heures dans les mines de charbon et les usines sidérurgiques du cœur industriel de l'Allemagne, le district de la Ruhr. Après une journée de travail dans les mines ou dans l'industrie de l'acier, ces travailleurs acharnés voulaient une bière sérieusement forte.</p><p>Pour une lager blonde, la bière de style Dortmunder est très alcoolisée. En fait, l'ABV de la bière Dortmunder varie généralement entre 5 et 6 % et était classée par les lois allemandes sur la taxation de la bière comme une bière d'exportation. Dans l'ensemble, une bière Dortmunder est plus forte en alcool que les Pilsners et les Helles de Munich, les autres bières populaires en Allemagne à cette époque.</p><p>La recette de la bière Dortmunder consiste en une quantité équilibrée de malts et de houblons. La bière Export Lager se compose principalement de malt Pilsner, bien que certains malts Vienna (5%) et Munich (3%) soient acceptables. Les houblons de la bière Dortmunder sont des houblons allemands nobles ou tchèques. L'équilibre modérément sec du malt et du houblon, ainsi que la sensation robuste en bouche, font que la bière semble plus grande qu'elle ne l'est.</p><p>Lors du brassage de la Export Lager, il faut tenir compte de l'eau unique de Dortmunder. L'eau de Dortmunder contient une quantité importante de sulfates, ce qui accentue l'amertume du houblon et l'alcalinité. En raison de ces facteurs, les brasseurs locaux ont tendance à limiter la quantité de houblon et à utiliser des malts foncés qui ont une plus grande acidité afin d'équilibrer l'alcalinité et d'éviter la production d'une bière trop amère.</p><p>La couleur d'une Dortmunder Export varie de l'or pâle à l'or foncé et présente une mousse blanche durable. Dans l'ensemble, cette bière allemande est vive, équilibrée, biscuitée, terreuse, douce et moyennement corsée. C'est une bière blonde propre qui possède la douceur du malt, avec une amertume persistante du houblon en fin de bouche, et sans esters fruités. La bière Dortmunder se marie parfaitement avec des plats légers et savoureux comme les salades, les fruits de mer, le porc et les plats ethniques épicés.</p>"
Double ipa,double-ipa,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,60658583ec97b3ca44025801,false,true,Thu Apr 01 2021 08:34:11 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:16 GMT+0000 (Coordinated Universal Time),,
Dubbel,dubbel,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,60658593c7baf680cc780f10,false,false,Thu Apr 01 2021 08:34:27 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:49:11 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>Une Dubbel est une bière de style belge dont le nom signifie ""double"" pour son intensité accrue, mais elle n'est pas assez grande pour surpasser ses consœurs tripel et quadruple. Les Dubbel peuvent porter différents noms qui se rapportent à leur origine et à leurs différences. La dubbel belge et la dubbel trappiste sont des termes interchangeables pour désigner une dubbel produite et vendue par les moines de l'ordre trappiste dans les murs des monastères. Une bière Dubbel de style abbaye a été fabriquée et rendue célèbre par les moines trappistes belges, mais elle n'était pas produite dans le style trappiste ou à l'intérieur des murs du monastère. De nombreuses brasseries fabriquent aujourd'hui des bières Trappist et Abbey Dubbel similaires. La Baltic Dubbel est l'une des meilleures bières Dubbel belges fabriquées par Insel Brauerei en Allemagne.</p><p>La couleur des bières Dubbel varie de l'ambre moyen au brun très profond, avec des reflets rouges sur le bord du verre. Les saveurs et les arômes maltés de cacao, de caramel et de fruits noirs, les esters fruités de banane générés par la levure et la légère amertume du houblon sans saveur persistante caractérisent la Dubbel. Comparée à d'autres brasseries belges, la Dubbel se situe quelque part entre une blonde belge et une Dark Strong Ale belge. Le style de bière Dubbel belge partage son niveau de force avec la blonde belge, et plus de son profil de saveur avec la Belgian dark strong ale.</p><p>La première, et toujours l'une des meilleures bières Dubbel, est la Westmalle Dubbel. La Dubbel a un taux d'alcoolémie compris entre 6 et 9 % et est servie de préférence dans un verre tulipe. Le brassin a un corps moyen et une carbonatation expressive, ce qui lui donne une grosse tête de crème. Les accords culinaires de la Belgian Dubbel sont le barbecue, la saucisse fumée, le steak, les fromages tels que le brie et le havarti, et tous les desserts chocolatés.</p>"
