Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,aaMin,aaMax,baMin,baMax,Usage,stability,oilQuantity,cohumulone,caryophyllene,humulene,myrcene,Aromas
Apollo,apollo,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b77776809368af0b56a1,false,false,Tue May 18 2021 12:47:51 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:42:47 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Le houblon super-alpha Apollo a été sélectionné pour la première fois en 2000 par Hopsteiner et présenté au public en 2006. Il descend de Zeus et de deux autres variétés USDA non nommées. Il a tendance à être assez cher, bien que les quantités utilisées aient tendance à être plus faibles en raison de sa très forte concentration en acides alpha. À son crédit, l'abondance d'acides alpha d'Apollo s'accompagne également d'un profil d'amertume net et précis, avec d'autres facteurs hautement souhaitables comme une grande stabilité de stockage et une tolérance aux maladies. Il est généralement utilisé avec des houblons aromatiques afin d'obtenir un équilibre, mais lorsqu'il est utilisé comme ajout tardif ou comme houblon sec, certaines notes de pamplemousse deviennent évidentes. Vous trouverez l'Apollo dans la Brown Bison Ale, la Pirate Pale Ale, la Pin-Head Pilsner et la Belgo Pale Ale pour n'en citer que quelques-unes et souvent aux côtés des variétés Glacier et Palisade®. Elle est principalement cultivée aux États-Unis.",15,19,5.5,8,Amérisant,Excellente : 85,1.5 - 2.5,24 - 28,14 - 20,20 - 20,33 - 55,agrumes; resineux; amertume-b; pamplemousse; citron-vert
Apolon,apolon,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b778beb16208363a416a,false,false,Tue May 18 2021 12:47:52 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:29:44 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Le houblon Apolon est difficile à trouver et sa culture a diminué depuis que son statut de Super Styrian a été remis en question. Introduit à l'origine comme Super Styrian dans les années 1970, il a depuis été reclassé comme hybride slovène et est un croisement entre le Brewer's Gold et un mâle sauvage yougoslave. L'Apolon peut être utilisé à la fois comme un houblon aromatique et amer et est considéré comme excellent pour les deux, bien que traditionnellement il était destiné uniquement à l'amertume. Il n'est pas limité et est commercialement viable, mais malgré cela, il n'est pas encore souvent employé par les brasseurs commerciaux. Ahil et Atlas sont tous deux frères et sœurs d'Apolon.",10,12,3.5,4,Double usage,Moyenne : 55,,,,,,
Aquila,aquila,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a39864c62d0d86b3e0c3ba,false,false,Tue May 18 2021 10:35:16 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:35 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Aquila a été développé aux États-Unis et a été établi dans des essais commerciaux de trois acres dans tout le Nord-Ouest en 1988. Elle a été officiellement commercialisée en 1994, mais en raison de sa teneur trop élevée en cohumulone, son utilisation a été considérée comme limitée et elle n'est plus disponible commercialement. Le géant nord-américain de la brasserie, Anheuser Busch, s'est désintéressé de la variété en 1996, ce qui a sonné le glas du bilan commercial d'Aquila.",6.5,9,4,5,Aromatique,Mauvaise : 40,,,,,,
Aramis,aramis,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b7787693e75aef23d050,false,false,Tue May 18 2021 12:47:52 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:29:45 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Aramis est un houblon aromatique originaire de la région Alsace en France. Croisé en 2002, Aramis est un produit de Strisselspalt et de Whitbread Golding et fut en fait la toute première variété issue du programme de sélection du Comptoir Agricole. Elle a hérité des excellents arômes de la Strisselspalt tout en offrant une qualité d'amertume plus abondante et plus stable. Elle est douce et épicée, citronnée et herbacée. La mesure de son arôme et ses caractéristiques alpha la rendent appropriée pour toutes les étapes de la bouilloire. Commercialement, il a été utilisé dans la French Aramis de New Belgium Hop Kitchen, une India Pale Ale sèche et rafraîchissante.",7.8,8.5,3.5,4.5,Aromatique,,1.2 - 1.6,,,,,agrumes; herbeux; epice
Archer ®,archer-C2AE,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a39784515d8b119cf42c15,false,false,Tue May 18 2021 10:31:32 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:29 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),,4,6,2,3,Double usage,,,,,,,floral; peche; citron-vert
Ariana,ariana,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3978f7d7455817fca8f24,false,false,Tue May 18 2021 10:31:43 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:30 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),,8.5,13,4.5,6,Double usage,,2.1 - 2.4,40 - 42,,,,agrumes; peche; pamplemousse; fruits-tropicaux; cassis; vanille; groseille
Atlas,atlas,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b779beac90ab117514c8,false,false,Tue May 18 2021 12:47:53 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:29:45 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Commercialisée dans les années 1970, l'Atlas présente à la fois de bonnes qualités d'amertume et d'arôme avec des notes intenses de tilleul, de fleur et de pin. Comme ses sœurs Aurora, Ahil et Apolon, la production commerciale de l'Atlas a été réduite en raison d'une confusion dans l'industrie découlant de sa classification incorrecte en tant que Super Styrian. Il s'agit d'une race slovène, mais c'est en réalité un plant de Brewer's Gold. Développée par le Dr Tone Wagner à l'Institut de recherche sur le houblon de Zalec, Atlas a également obtenu l'adhésion de l'USDA.",7,11,3.8,4,Aromatique,Moyenne : 50,,,,,,floral; resineux; fraicheur; citron-vert
Aurora,aurora,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b7790882c41a6a47b2ea,false,false,Tue May 18 2021 12:47:53 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:29:46 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"L'hybride diploïde Aurora est le seul Super Styrian qui bénéficie encore d'une disponibilité commerciale mondiale. En fait, c'est un houblon très célèbre et l'une des deux variétés distinctes produites en Slovénie. Développé en tant que semis de Northern Brewer, l'arôme d'Aurora provient de son bel équilibre d'huiles essentielles. Avec près de deux fois plus d'acide alpha que le Styrian Golding, un autre houblon slovène primaire, Aurora est épicé, herbacé et modérément amer. Les descriptions et les critiques de la plupart des bières utilisant le houblon Aurora les décrivent comme agréablement houblonnées et veloutées. Vous trouverez l'Aurora dans l'Aurora de Hopvine Brewing Company, dans l'Aurora de Funwerk et dans l'une des ales à houblon unique de Mayflower, Styrian Aurora, entre autres.",6.5,10,2.5,5.5,Double usage,Bonne : 70,0.9 - 1.6,22 - 26,4 - 8,20 - 27,35 - 45,epice; houblon
Azacca ®,azacca-C2AE,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a39866f5732f423be4f717,false,false,Tue May 18 2021 10:35:18 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:37 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Nommé d'après le dieu haïtien de l'agriculture, Azacca fait partie d'une nouvelle couvée de houblons amers nains. Descendant directement de Toyomidori, sa plus grande parenté comprend également Summit™ et Northern Brewer. Cultivé par l'American Dwarf Hop Association, une entreprise conjointe de sélection de houblon entre Roy Farms, Wyckoff Farms et Green Acres Farms, Azacca est considéré par de nombreux brasseurs comme étant bien adapté aux IPA. Même avec ses acides alpha élevés, l'Azacca fonctionne bien comme un houblon à double usage, dégageant un agréable mélange de fruits tropicaux embrassés par des agrumes. En bouche, il est particulièrement épicé, avec de la mangue, de l'ananas et des qualités semblables à celles du pin et de la mandarine. Il a également été comparé à certaines variétés néo-zélandaises.",14,16,4,5.5,Double usage,,1.6 - 2.5,38 - 45,,,,agrumes; epice; herbeux; ananas; citron; mangue; pamplemousse; fruits-tropicaux; papaye; orange-6
BOR,bor,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b77dd5edd18633c23e1d,false,false,Tue May 18 2021 12:47:57 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:42:49 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Sélectionné par le Dr Bob Romanko, BOR 704 a été nommé ainsi en raison de sa position de plantation, rangée 7, plante 04, dans le ""Bone Yard"" de Prosser dans la vallée de Yakima. Elle présente un profil aromatique nettement européen. Bien que la BOR présente un rendement relativement faible, elle a été utilisée pour élever d'autres plants dans le but de transmettre son faible taux de cohumulone, qui n'est parfois que de 14 %. Cependant, sa faible teneur en alpha l'a empêché de prendre pied avec succès dans la production commerciale de houblon. Il semble y avoir une certaine confusion quant à sa filiation. Certaines sources affirment qu'il s'agit d'un plant de Hallertau Mittelfrueh, tandis que d'autres disent qu'il est issu de Saaz et de Northern Brewer. La première source est très probablement vraie.",6,9,3,5.5,Aromatique,Bonne : 65,,,,,,herbeux; citron; floral; terreux
Banner,banner,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b77abeb162bd663a433e,false,false,Tue May 18 2021 12:47:54 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:29:48 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Banner n'a pas eu de succès sur le marché commercial. Obtenue à partir d'un plant de Brewer's Gold au début des années 1970 par pollinisation ouverte, sa première parcelle d'essai a été abandonnée en raison de graves problèmes de mildiou. Elle a finalement été commercialisée avec sa demi-sœur Aquila en 1996, après avoir suscité l'intérêt du géant américain de la brasserie Anheuser Busch. Mais finalement, après plusieurs années d'évaluation, elle a été éliminée de tout autre test. La Banner est connue pour avoir des acides alpha modérément élevés, un arôme agréable et un bon rendement, mais elle présente une mauvaise aptitude au stockage, ce qui, avec sa sensibilité aux moisissures, la rend largement non viable.",8.5,12.5,5,8,Amérisant,Mauvaise : 45,,,,,,
Barbe Rouge,barbe-rouge,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a397933c0aaf2d82ac183b,false,false,Tue May 18 2021 10:31:47 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:31 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Barbe Rouge est une variété issue du programme de recherche variétale en Alsace. Provient du Strisselspalt. Son arôme prononcé s'éloigne des classiques avec des notes de fruits rouges avec une teneur en acides Alpha relativement haute. Son amertume est élégante et peu persistante. Ses notes aromatiques sont douces, épicées, herbals et légèrement agrumes et une bonne proportion d'arome de fruits rouges.",8,10,3.6,4.6,Double usage,,1.1 - 1.6,26.2,,15 - 25,35 - 52,agrumes; epice; herbeux; fruits-rouges; citron; fraise; cerise
Bačka,backa,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b779b8a3abe1326091ab,false,false,Tue May 18 2021 12:47:53 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:29:47 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Datant de 1956, le Backa est une variété ancienne et rare de houblon aromatique dont le pedigree est inconnu. Il a un potentiel de rendement élevé dans sa région d'origine, la région de Backa en Serbie (ex-Yougoslavie), mais ne semble pas avoir de succès ailleurs. Il est très aromatique et on dit qu'il possède des qualités similaires à celles de nombreux ""houblons nobles"" européens. L'USDA répertorie deux souches de Backa (56002) et (21080), mais il semble qu'il y ait un désaccord quant à savoir si elles sont identiques ou non.",3,6.5,4,7,Aromatique,Bonne : 65,,,,,,houblon
Beata,beata,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a39859c87475a049b7d530,false,false,Tue May 18 2021 10:35:05 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:32 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),,3.5,3.8,,,Aromatique,,,,,,,abricot; pomme; amande
Belgian Saaz,belgian-saaz,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b77ac72dc9fad77f58d7,false,true,Tue May 18 2021 12:47:54 GMT+0000 (Coordinated Universal Time),Fri Aug 23 2024 17:08:42 GMT+0000 (Coordinated Universal Time),,"Anciennement connu sous le nom de Saaz belge ou Saaz B, Motueka est un houblon néo-zélandais de premier ordre. Développé par HortResearch, ce triploïde a été sélectionné à partir de Saaz et d'une souche néo-zélandaise non nommée et se prête bien aux Lagers, Pilsners et Belgian Ales. C'est un excellent houblon à double usage, qui dégage un arôme fruité excitant avec des notes rafraîchissantes de fruits tropicaux et d'agrumes. Il peut être utilisé à n'importe quel moment du processus de brassage et fonctionne bien dans les bières sucrées, maltées et fruitées. Le brasseur Jack de la brasserie Massachusetts utilise Motueka dans une Maibock et la brasserie Sierra Nevada a également lancé sa bière au houblon frais Southern Hemisphere Harvest en avril 2014 en utilisant Motueka, ainsi que Southern Cross, comme houblon de finition.",6.5,7.5,5,5.5,Double usage,,,,,0.00,0.00,agrumes; citron; fruits-tropicaux; citron-vert
Belma,belma,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b77b2db8d88a499d0949,false,false,Tue May 18 2021 12:47:55 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:29:49 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Le houblon Belma® est un ajout récent de Hops Direct et de Puterbaugh Farms dans la vallée de Yakima. Le Belma a été testé en tant que houblon à double usage et on lui a trouvé un mélange ambrosien d'orange, de melon, de fraise et d'ananas avec une légère touche de pamplemousse. À l'appui de ces résultats, l'OSU a créé un malt pâle avec du Belma qui présente les mêmes caractéristiques d'arôme et de saveur. À ce jour, le Belma a également connu une grande activité dans le domaine du brassage récréatif, de nombreux brasseurs amateurs documentant son utilisation en ligne dans des Pale Ales, IPAs, Blonde Ales et autres. Presque tous lui ont donné des notes favorables. Elle a été mise sur le marché en 2012.",10,11.5,,,Double usage,,,,,,,orange-6; fraise; melon; pamplemousse; ananas
Bianca,bianca,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a39867bbada321bc67f2f0,false,false,Tue May 18 2021 10:35:19 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:38 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Bianca (alias Bianco et Bianca Gold), avec sa couleur jaune citron et sa tige contrastée rouge-brun à rose, est cultivé strictement comme un houblon ornemental. Il doit être cultivé dans des zones semi-ombragées car ses feuilles claires sont sujettes à des brûlures au soleil. Bien qu'il n'ait pas été sélectionné pour un usage commercial, il est dit que les cônes peuvent être utilisés pour l'aromatisation si un arôme et un goût de type Saazer sont souhaités. Sunbeam, la demi-sœur de Bianca, présente des caractéristiques similaires.",7,7.8,3.2,3.4,Aromatique,,,,,,,
Bitter Gold,bitter-gold,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b77bf570a10eecef63fc,false,false,Tue May 18 2021 12:47:55 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:29:50 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"L'héritage de la variété super-alpha Bitter Gold provient des variétés Bullion, Brewer's Gold, Comet et Fuggle. Elle présente un pourcentage d'acide alpha supérieur à celui de tous ses parents et même supérieur à celui de Galena ou Nugget, auxquelles elle est souvent comparée. Lancée en production en 1999, la Bitter Gold est assez polyvalente et peut être utilisée comme amertume ou comme ajout d'arôme, conférant des saveurs fortes rappelant les fruits à noyau, la pastèque et la poire.",14,19,6,7.5,Amérisant,Moyenne : 55,,,,,,fruit-a-noyau; poire; pasteque
Blato,blato,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b77b2db4321d9bd904d6,false,false,Tue May 18 2021 12:47:55 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:29:51 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Le Blato a été l'un des premiers houblons autorisés en République tchèque (anciennement Tchécoslovaquie) pour la production commerciale. Il n'est généralement pas distingué, mais fait partie du collectif connu sous le nom de houblon Saaz, ou Bohemian Early Red. Il n'a pas un très bon rendement aux États-Unis, mais on le soupçonne d'être beaucoup plus prolifique dans son pays d'origine. La société Zatec Hop Company, en Tchécoslovaquie, affirme que l'analyse des huiles et des résines a montré que Blato et ses frères et sœurs présentent le même profil aromatique fin que les autres houblons Saaz, un profil authentique et délicat.",4.2,4.9,3.3,3.5,Aromatique,Bonne : 65,,,,,,
Blisk,blisk,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3986a4defed6dc3ecaa3c,false,false,Tue May 18 2021 10:35:22 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:39 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Datant de la fin des années 1970, le Blisk a été sélectionné dans sa région d'origine, Zalec, en Slovénie, avec le Bobek et le Buket, dans le but d'obtenir une teneur élevée en alpha et un arôme agréable dans un seul cultivar. Il s'agit d'un croisement entre Atlas et une variété mâle de l'ancienne Yougoslavie. Malgré son bon rendement, Blisk n'est pas produit commercialement.",9.7,14,3.3,4.8,Double usage,,,,,,,
